make,model,year,vehicle_class,class_simple,engine_displacement_l,cylinders,displacement_per_cyl,fuel_type,fuel_simple,fuel_enc,city_mpg,highway_mpg,combined_mpg,hwy_city_ratio,co2_grams_per_mile,co2_per_mpg,cd,aero_efficiency,year_rel
Jaguar,XK,2010,Minicompact Cars,Other,5.0,8.0,0.625,Premium,premium,2,16,24,19,1.5,,,,,0
Jaguar,XK,2010,Minicompact Cars,Other,5.0,8.0,0.625,Premium,premium,2,15,22,17,1.4666666666666666,,,,,0
Jaguar,XK Convertible,2010,Minicompact Cars,Other,5.0,8.0,0.625,Premium,premium,2,16,22,18,1.375,,,,,0
Pontiac,Solstice,2010,Two Seaters,Two Seater,2.0,4.0,0.5,Regular,regular,3,19,27,22,1.4210526315789473,,,,,0
Pontiac,Solstice,2010,Two Seaters,Two Seater,2.0,4.0,0.5,Regular,regular,3,19,29,23,1.5263157894736843,,,,,0
Pontiac,Solstice,2010,Two Seaters,Two Seater,2.4,4.0,0.6,Regular,regular,3,19,24,21,1.263157894736842,,,,,0
Pontiac,Solstice,2010,Two Seaters,Two Seater,2.4,4.0,0.6,Regular,regular,3,19,26,22,1.368421052631579,,,,,0
Saturn,SKY,2010,Two Seaters,Two Seater,2.0,4.0,0.5,Regular,regular,3,19,27,22,1.4210526315789473,,,,,0
Saturn,SKY,2010,Two Seaters,Two Seater,2.0,4.0,0.5,Regular,regular,3,19,29,23,1.5263157894736843,,,,,0
Saturn,SKY,2010,Two Seaters,Two Seater,2.4,4.0,0.6,Regular,regular,3,19,24,21,1.263157894736842,,,,,0
Saturn,SKY,2010,Two Seaters,Two Seater,2.4,4.0,0.6,Regular,regular,3,19,26,22,1.368421052631579,,,,,0
Audi,S5,2010,Subcompact Cars,Subcompact,4.2,8.0,0.525,Premium,premium,2,14,22,17,1.5714285714285714,,,,,0
Audi,S5,2010,Subcompact Cars,Subcompact,4.2,8.0,0.525,Premium,premium,2,16,24,19,1.5,,,,,0
Bmw,650ci,2010,Subcompact Cars,Subcompact,4.8,8.0,0.6,Premium,premium,2,15,22,18,1.4666666666666666,,,,,0
Bmw,650ci,2010,Subcompact Cars,Subcompact,4.8,8.0,0.6,Premium,premium,2,15,23,18,1.5333333333333334,,,,,0
Bmw,650ci Convertible,2010,Subcompact Cars,Subcompact,4.8,8.0,0.6,Premium,premium,2,14,21,16,1.5,,,,,0
Bmw,650ci Convertible,2010,Subcompact Cars,Subcompact,4.8,8.0,0.6,Premium,premium,2,15,23,18,1.5333333333333334,,,,,0
Bmw,M6,2010,Subcompact Cars,Subcompact,5.0,10.0,0.5,Premium,premium,2,11,17,13,1.5454545454545454,,,,,0
Bmw,M6,2010,Subcompact Cars,Subcompact,5.0,10.0,0.5,Premium,premium,2,11,17,13,1.5454545454545454,,,,,0
Bmw,M6 Convertible,2010,Subcompact Cars,Subcompact,5.0,10.0,0.5,Premium,premium,2,11,17,13,1.5454545454545454,,,,,0
Bmw,M6 Convertible,2010,Subcompact Cars,Subcompact,5.0,10.0,0.5,Premium,premium,2,11,17,13,1.5454545454545454,,,,,0
Ford,Mustang,2010,Subcompact Cars,Subcompact,4.0,6.0,0.6666666666666666,Regular,regular,3,16,24,19,1.5,,,,,0
Ford,Mustang,2010,Subcompact Cars,Subcompact,4.0,6.0,0.6666666666666666,Regular,regular,3,18,26,21,1.4444444444444444,,,,,0
Ford,Mustang,2010,Subcompact Cars,Subcompact,4.6,8.0,0.575,Regular,regular,3,17,23,19,1.3529411764705883,,,,,0
Ford,Mustang,2010,Subcompact Cars,Subcompact,4.6,8.0,0.575,Regular,regular,3,16,24,19,1.5,,,,,0
Ford,Mustang,2010,Subcompact Cars,Subcompact,5.4,8.0,0.675,Premium,premium,2,14,22,17,1.5714285714285714,,,,,0
Hyundai,Genesis Coupe,2010,Subcompact Cars,Subcompact,2.0,4.0,0.5,Regular,regular,3,20,30,23,1.5,,,,,0
Hyundai,Genesis Coupe,2010,Subcompact Cars,Subcompact,2.0,4.0,0.5,Regular,regular,3,21,30,24,1.4285714285714286,,,,,0
Hyundai,Genesis Coupe,2010,Subcompact Cars,Subcompact,3.8,6.0,0.6333333333333333,Regular,regular,3,17,27,21,1.588235294117647,,,,,0
Hyundai,Genesis Coupe,2010,Subcompact Cars,Subcompact,3.8,6.0,0.6333333333333333,Regular,regular,3,17,26,20,1.5294117647058822,,,,,0
